2025-08-25T10:50:55.360362 INFO   [main] [Bolt::Logger] Loaded project from 'C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config'
2025-08-25T10:50:55.360520 DEBUG  [main] [Bolt::Logger] Analytics opt-out is set, analytics will be disabled
2025-08-25T10:50:55.360984 DEBUG  [main] [Bolt::Executor] Started with 100 max thread(s)
2025-08-25T10:50:55.361585 DEBUG  [main] [Bolt::PAL] Loading modules from C:/Program Files/Puppet Labs/Bolt/lib/ruby/gems/2.7.0/gems/bolt-3.29.0/bolt-modules;C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/modules;C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/.modules;C:/Program Files/Puppet Labs/Bolt/lib/ruby/gems/2.7.0/gems/bolt-3.29.0/modules
2025-08-25T10:50:55.362037 DEBUG  [main] [Bolt::Inventory] Tried to load inventory from C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/inventory.yaml, but the file does not exist
2025-08-25T10:50:57.272072 DEBUG  [] [Bolt::Inventory::Inventory] Did not find config for localhost in inventory
2025-08-25T10:50:57.274500 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: plan windows_config
2025-08-25T10:50:57.282502 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: plan windows_config::base
2025-08-25T10:50:57.294210 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'if (!(Test-Path -Path 'C:\temp')) { New-Item -ItemType Directory -Path 'C:\temp' -Force }' on localhost
2025-08-25T10:50:57.295149 INFO   [exec-worker-1] [Bolt::Executor] Running command 'if (!(Test-Path -Path 'C:\temp')) { New-Item -ItemType Directory -Path 'C:\temp' -Force }' on ["localhost"]
2025-08-25T10:50:57.295279 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'if (!(Test-Path -Path 'C:\temp')) { New-Item -ItemType Directory -Path 'C:\temp' -Force }' on localhost
2025-08-25T10:51:00.290474 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"if (!(Test-Path -Path 'C:\\temp')) { New-Item -ItemType Directory -Path 'C:\\temp' -Force }","status":"success","value":{"stdout":"","stderr":"","merged_output":"","exit_code":0}}
2025-08-25T10:51:00.292291 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'if (!(Test-Path -Path 'C:\temp')) { New-Item -ItemType Directory -Path 'C:\temp' -Force }' with 0 failures in 3.0 sec
2025-08-25T10:51:00.292841 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: plan windows_config::base in 3.01 sec
2025-08-25T10:51:00.308926 INFO   [exec-worker-1] [Bolt::Executor] Running command 'New-Item -ItemType Directory -Force -Path 'C:/Temp/PuppetTest'' on ["localhost"]
2025-08-25T10:51:00.309498 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'New-Item -ItemType Directory -Force -Path 'C:/Temp/PuppetTest'' on localhost
2025-08-25T10:51:00.309354 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: plan windows_config::puppet
2025-08-25T10:51:00.323789 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'New-Item -ItemType Directory -Force -Path 'C:/Temp/PuppetTest'' on localhost
2025-08-25T10:51:03.462242 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"New-Item -ItemType Directory -Force -Path 'C:/Temp/PuppetTest'","status":"success","value":{"stdout":"\r\n\r\n    Directory: C:\\Temp\r\n\r\n\r\nMode                 LastWriteTime         Length Name                                                                 \r\n----                 -------------         ------ ----                                                                 \r\nd-----         8/18/2025  12:55 PM                PuppetTest                                                           \r\n\r\n\r\n","stderr":"","merged_output":"\r\n\r\n    Directory: C:\\Temp\r\n\r\n\r\nMode                 LastWriteTime         Length Name                                                                 \r\n----                 -------------         ------ ----                                                                 \r\nd-----         8/18/2025  12:55 PM                PuppetTest                                                           \r\n\r\n\r\n","exit_code":0}}
2025-08-25T10:51:03.463940 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'New-Item -ItemType Directory -Force -Path 'C:/Temp/PuppetTest'' with 0 failures in 3.15 sec
2025-08-25T10:51:03.464420 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'powershell.exe -Command "Invoke-WebRequest -Uri 'https://downloads.puppet.com/windows/puppet-agent-x64-latest.msi' -OutFile 'C:/Temp/PuppetTest/PuppetAgent.msi' -UseBasicParsing"' on localhost
2025-08-25T10:51:03.464065 INFO   [exec-worker-1] [Bolt::Executor] Running command 'powershell.exe -Command "Invoke-WebRequest -Uri 'https://downloads.puppet.com/windows/puppet-agent-x64-latest.msi' -OutFile 'C:/Temp/PuppetTest/PuppetAgent.msi' -UseBasicParsing"' on ["localhost"]
2025-08-25T10:51:03.464623 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'powershell.exe -Command "Invoke-WebRequest -Uri 'https://downloads.puppet.com/windows/puppet-agent-x64-latest.msi' -OutFile 'C:/Temp/PuppetTest/PuppetAgent.msi' -UseBasicParsing"' on localhost
2025-08-25T10:51:28.791461 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"powershell.exe -Command \"Invoke-WebRequest -Uri 'https://downloads.puppet.com/windows/puppet-agent-x64-latest.msi' -OutFile 'C:/Temp/PuppetTest/PuppetAgent.msi' -UseBasicParsing\"","status":"success","value":{"stdout":"","stderr":"","merged_output":"","exit_code":0}}
2025-08-25T10:51:28.793414 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'powershell.exe -Command "Invoke-WebRequest -Uri 'https://downloads.puppet.com/windows/puppet-agent-x64-latest.msi' -OutFile 'C:/Temp/PuppetTest/PuppetAgent.msi' -UseBasicParsing"' with 0 failures in 25.33 sec
2025-08-25T10:51:28.793946 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'msiexec /i C:/Temp/PuppetTest/PuppetAgent.msi /qn /norestart PUPPET_MASTER_SERVER=puppet.it.epicgames.com' on localhost
2025-08-25T10:51:28.793559 INFO   [exec-worker-1] [Bolt::Executor] Running command 'msiexec /i C:/Temp/PuppetTest/PuppetAgent.msi /qn /norestart PUPPET_MASTER_SERVER=puppet.it.epicgames.com' on ["localhost"]
2025-08-25T10:51:28.794191 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'msiexec /i C:/Temp/PuppetTest/PuppetAgent.msi /qn /norestart PUPPET_MASTER_SERVER=puppet.it.epicgames.com' on localhost
